iter	RMSE
0	0.5626791828
1	0.5506155801
2	0.5386278438
3	0.5272668151
4	0.5163814214
5	0.5055394211
6	0.4949005831
7	0.484116076
8	0.4739097891
9	0.4642774878
10	0.454881095
11	0.4455931246
12	0.4369412248
13	0.4288077822
14	0.4203868326
15	0.4116815047
16	0.4038360819
17	0.3962022525
18	0.3887506266
19	0.3821739875
20	0.3746176033
21	0.3674171125
22	0.360441549
23	0.3537464847
24	0.3472459677
25	0.3408912075
26	0.3345824356
27	0.3286589809
28	0.3230517828
29	0.3173811603
30	0.3123823337
31	0.3072099747
32	0.3019846492
33	0.296832779
34	0.2919088351
35	0.287412685
36	0.2828353695
37	0.2786388775
38	0.2742605263
39	0.2703883028
40	0.2663614016
41	0.2626073498
42	0.2587789186
43	0.2551893016
44	0.2516907082
45	0.2482301869
46	0.2448461154
47	0.241687178
48	0.23869261
49	0.2357186761
50	0.2325593577
51	0.2296810989
52	0.2266805659
53	0.2235937277
54	0.220846639
55	0.2182808829
56	0.2157067501
57	0.2134824623
58	0.2112602061
59	0.208935972
60	0.2067939199
61	0.2045699693
62	0.2024469984
63	0.2003565471
64	0.1983629341
65	0.1964617211
66	0.1945349601
67	0.1928458891
68	0.1912460951
69	0.189408335
70	0.1878704461
71	0.186099895
72	0.1843148143
73	0.1828475912
74	0.1811875651
75	0.1796219151
76	0.1781600409
77	0.1767609683
78	0.1753479687
79	0.1738923153
80	0.1726574896
81	0.1712817346
82	0.1701151348
83	0.168974041
84	0.1680173551
85	0.166983595
86	0.1659408037
87	0.1649941337
88	0.1639679335
89	0.1628092585
90	0.1618632767
91	0.1607387678
92	0.1599078497
93	0.158962293
94	0.1580862007
95	0.1573102102
96	0.1565347519
97	0.15565657
98	0.1549256101
99	0.1542109674
100	0.1534895775
101	0.1527845878
102	0.1520166208
103	0.151163998
104	0.1505401854
105	0.1499165738
106	0.1492244386
107	0.1485409686
108	0.1479347182
109	0.1472965994
110	0.1466154203
111	0.1461221414
112	0.1456401218
113	0.1450873687
114	0.1444804083
115	0.1439017871
116	0.1435196601
117	0.1429563156
118	0.1424396633
119	0.1421726251
120	0.1417412091
121	0.1413396559
122	0.1409301465
123	0.1404463457
124	0.1400776768
125	0.1396123734
126	0.1392235801
127	0.1387082019
128	0.1383771613
129	0.137966338
130	0.1375532811
131	0.1371167093
132	0.1366568345
133	0.1363286883
134	0.1358987035
135	0.135583847
136	0.1351809923
137	0.1347562971
138	0.1345485227
139	0.1342003297
140	0.1339943477
141	0.1336415611
142	0.1332561871
143	0.1329281847
144	0.1327206688
145	0.1323935612
146	0.1322137794
147	0.1319282928
148	0.1317506891
149	0.1314659068
150	0.1311255766
151	0.1308474769
152	0.1305853176
153	0.1303298104
154	0.1300667668
155	0.1297517455
156	0.1294329686
157	0.1291033939
158	0.1287514327
159	0.1286299373
160	0.1284648613
161	0.1283247094
162	0.1281100035
163	0.1278927316
164	0.1276345381
165	0.1275581306
166	0.1273463956
167	0.1271391135
168	0.1269922811
169	0.1269183323
170	0.1267045018
171	0.1266021319
172	0.1263919393
173	0.1261407191
174	0.1261253116
175	0.1258942449
176	0.1258311548
177	0.1256611403
178	0.1253670046
179	0.1253086175
180	0.1251756857
181	0.1248470126
182	0.1247971703
183	0.1246689628
184	0.1245917955
185	0.1244222917
186	0.1242491008
187	0.1241869604
188	0.12398165
189	0.123907396
190	0.123740451
191	0.123628807
192	0.1234505947
193	0.1233782591
194	0.1232418534
195	0.1230272401
196	0.122927176
197	0.1227973786
198	0.1227067511
199	0.1226533643
200	0.122580572
201	0.122526123
202	0.1224662173
203	0.1224126952
204	0.1223682944
205	0.1223144627
206	0.1221064478
207	0.1220614381
208	0.1218666254
209	0.1218147421
210	0.1217294543
211	0.1215439496
212	0.1214502306
213	0.1213880203
214	0.1213307113
215	0.1212916128
216	0.121254612
217	0.1211905857
218	0.121071172
219	0.1208825255
220	0.1207235048
221	0.1206349055
222	0.1204236447
223	0.1202041741
224	0.1199891012
225	0.1198231697
226	0.1197652661
227	0.1195922182
228	0.1195505855
229	0.1195146124
230	0.1194752105
231	0.1193603303
232	0.1193198634
233	0.1192616826
234	0.1192401772
235	0.1191680523
236	0.1189675789
237	0.11879683
238	0.11852642
239	0.1182297085
240	0.1181854243
241	0.1181438229
242	0.1180260886
243	0.1179821327
244	0.1177787261
245	0.1177474935
246	0.1175686128
247	0.1175185241
248	0.1174911033
249	0.1174546029
250	0.1174199764
251	0.1173828512
252	0.1173576218
253	0.1173152014
254	0.1171580902
255	0.1171439245
256	0.1170916857
257	0.116957204
258	0.1169217599
259	0.1168522503
260	0.1168200191
261	0.1167888255
262	0.1167536852
263	0.116578949
264	0.1163399305
265	0.1163224405
266	0.116292782
267	0.116266266
268	0.1162540463
269	0.1162172688
270	0.1159808966
271	0.1158037708
272	0.1157698949
273	0.1156212913
274	0.1155847843
275	0.1155499246
276	0.1153338254
277	0.1152879342
278	0.1152502202
279	0.1152403059
280	0.1152109527
281	0.1151943121
282	0.11515978
283	0.1151296306
284	0.1151055735
285	0.1150696469
286	0.1150346843
287	0.1148567273
288	0.1148278456
289	0.1145872121
290	0.1145763323
291	0.1145155442
292	0.114505762
293	0.1144969125
294	0.1144682675
295	0.1144371248
296	0.1144057488
297	0.1143746888
298	0.1143519121
299	0.1143259658
300	0.1142983601
301	0.11410943
302	0.1139215497
303	0.1138950137
304	0.1138620515
305	0.1138367062
306	0.113811362
307	0.1137915796
308	0.1137725751
309	0.113747461
310	0.1137237743
311	0.113698894
312	0.1136862181
313	0.1136685905
314	0.1136395542
315	0.1135982236
316	0.1135845902
317	0.1135679577
318	0.1133156674
319	0.11330497
320	0.1132655693
321	0.1132292732
322	0.1132058713
323	0.1131935084
324	0.113012065
325	0.112987219
326	0.1129621215
327	0.1127191164
328	0.1127120399
329	0.1126844829
330	0.112656995
331	0.1124080498
332	0.1124057217
333	0.1123793327
334	0.112242244
335	0.1122202001
336	0.112195189
337	0.112067172
338	0.111962575
339	0.111887196
340	0.1118598225
341	0.1117107516
342	0.1116999338
343	0.1114626164
344	0.1113268655
345	0.1113162365
346	0.1111439672
347	0.1111198283
348	0.1110809724
349	0.1108743464
350	0.110720224
351	0.1106966469
352	0.1106735517
353	0.1106670663
354	0.1106478229
355	0.1104477164
356	0.1104456061
357	0.110301862
358	0.1100771186
359	0.1100201348
360	0.1098840892
361	0.1098772341
362	0.1098685044
363	0.1098450872
364	0.1098365222
365	0.1098133974
366	0.1098061833
367	0.1098021653
368	0.1097000557
369	0.1096968362
370	0.109605252
371	0.1095822303
372	0.1095596552
373	0.1095386936
374	0.1094133937
375	0.1093940273
376	0.1092246017
377	0.1091933448
378	0.1090163972
379	0.1088484837
380	0.1088447021
381	0.1088229794
382	0.1087514322
383	0.1087419001
384	0.1087327881
385	0.1087146601
386	0.1086900653
387	0.1086882884
388	0.1086783985
389	0.1086630078
390	0.1086606348
391	0.1086414567
392	0.1085266553
393	0.108363565
394	0.1083548462
395	0.1083407522
396	0.1083328133
397	0.1081687517
398	0.1081648788
399	0.1081538829
400	0.1081107902
401	0.1081073136
402	0.1081031495
403	0.1079781717
404	0.1079377054
405	0.1079350163
406	0.1079211019
407	0.1079016898
408	0.1078975107
409	0.1078400321
410	0.1078328143
411	0.1076400384
412	0.1074837152
413	0.1074722194
414	0.1073121698
415	0.1073099445
416	0.1072903569
417	0.1072732081
418	0.1071662696
419	0.1071608039
420	0.1070924821
421	0.1070898739
422	0.1070608038
423	0.1070511106
424	0.1070352989
425	0.1068217304
426	0.1068015778
427	0.1067883182
428	0.1067720247
429	0.1066264841
430	0.1066117969
431	0.1065741514
432	0.1064924457
433	0.1062957747
434	0.1062820075
435	0.1062630183
436	0.1062086789
437	0.1061736092
438	0.1061703712
439	0.1061392883
440	0.1060726859
441	0.1060690441
442	0.1060470505
443	0.1060296621
444	0.1060272838
445	0.1058465578
446	0.1058423647
447	0.1058395146
448	0.1057532786
449	0.1057491491
450	0.1055671895
451	0.1053456776
452	0.1053268785
453	0.1053078027
454	0.1050851121
455	0.1048955308
456	0.1047585102
457	0.1046182658
458	0.1045535294
459	0.1045509321
460	0.1044975352
461	0.1044936329
462	0.1044880199
463	0.1044748725
464	0.1044646282
465	0.104443055
466	0.1043361276
467	0.1043109849
468	0.1043074145
469	0.1041587034
470	0.1039828579
471	0.1039659309
472	0.1038309891
473	0.1037811518
474	0.1037656821
475	0.103762471
476	0.1036642691
477	0.103606239
478	0.1035909072
479	0.1035743276
480	0.1035654306
481	0.103515608
482	0.1035005911
483	0.1034809652
484	0.1034793827
485	0.1034757001
486	0.1034607452
487	0.1034562673
488	0.1033033008
489	0.103284159
490	0.1032826085
491	0.1031102272
492	0.1031031821
493	0.1030896167
494	0.1030776044
495	0.1029486253
496	0.1029115274
497	0.1028931082
498	0.1028911468
499	0.1028595812
500	0.1028562555
501	0.1028451352
502	0.1026983641
503	0.1026968159
504	0.1025299715
505	0.1023916783
506	0.1022771994
507	0.1021912926
508	0.1020755319
509	0.1020735205
510	0.1020699457
511	0.1019426692
512	0.1017982347
513	0.101619942
514	0.1016019791
515	0.1015981027
516	0.1015867813
517	0.1015664304
518	0.1015619551
519	0.101484622
520	0.1014770364
521	0.1013456017
522	0.1013378207
523	0.1013304304
524	0.1013207371
525	0.1011854183
526	0.1010596748
527	0.1010203922
528	0.1010084161
529	0.1009160717
530	0.1009042983
531	0.1009019056
532	0.1008837343
533	0.1008595523
534	0.1008428117
535	0.1008400526
536	0.1006819709
537	0.1006622723
538	0.1006550639
539	0.100650804
540	0.1005486991
541	0.1005387756
542	0.1004495786
543	0.1004313284
544	0.1003212988
545	0.1001488089
546	0.1001361331
547	0.1001321865
548	0.1001236001
549	0.1001148291
550	0.1000582409
551	0.1000565633
552	0.1000552671
553	0.1000358499
554	0.0999986783
555	0.0999969299
556	0.09989871398
557	0.09974294279
558	0.09967464887
559	0.09967168039
560	0.09966123831
561	0.09964776919
562	0.09948666609
563	0.09939664618
564	0.09938726966
565	0.09937715151
566	0.09936514555
567	0.09935504807
568	0.09919143752
569	0.0991899856
570	0.0991873698
571	0.09913565086
572	0.09911766069
573	0.09896409787
574	0.09886359713
575	0.09885431527
576	0.09883069884
577	0.0987858413
578	0.09878324847
579	0.09878052927
580	0.09876264629
581	0.09875982656
582	0.09875245432
583	0.09866632164
584	0.0986605588
585	0.09865450222
586	0.09852441438
587	0.09852084111
588	0.09851707467
589	0.09841509722
590	0.09827269653
591	0.09818359731
592	0.0981743985
593	0.09806002437
594	0.09788066598
595	0.0977242904
596	0.09772183213
597	0.09770876526
598	0.09767538251
599	0.09767216489
600	0.09766913398
601	0.09757076611
602	0.0975625391
603	0.09751551415
604	0.09735398702
605	0.09734454224
606	0.09725502359
607	0.09725348138
608	0.09718545275
609	0.09709706108
610	0.09709298304
611	0.09708113266
612	0.09707838903
613	0.09706356162
614	0.09699233589
615	0.09698243469
616	0.09697716849
617	0.09697658017
618	0.09691506831
619	0.09690732513
620	0.09689422766
621	0.09684776927
622	0.09683238127
623	0.0967112099
624	0.09657968655
625	0.09657409417
626	0.09650512749
627	0.09642599472
628	0.09629025771
629	0.09617976872
630	0.09608922381
631	0.09605633971
632	0.09604562112
633	0.0960401281
634	0.09595158989
635	0.09593437065
636	0.09583312952
637	0.09568716786
638	0.09559636509
639	0.09552438571
640	0.09536741976
641	0.09536479516
642	0.09530497483
643	0.09529718519
644	0.0952860743
645	0.09521345304
646	0.09509641365
647	0.09505110412
648	0.09496190056
649	0.09481717375
650	0.094813709
651	0.0947860176
652	0.09473179879
653	0.09464747449
654	0.09464529935
655	0.0945082638
656	0.09450492329
657	0.09450044661
658	0.09449156697
659	0.09442257306
660	0.09441969096
661	0.09441843204
662	0.09428963177
663	0.09427077868
664	0.09419120688
665	0.09418873843
666	0.0940625648
667	0.09400067397
668	0.09387170848
669	0.09383217163
670	0.09381840205
671	0.09372714762
672	0.09367079907
673	0.09364812827
674	0.09364626733
675	0.09360000742
676	0.09352310656
677	0.09352118894
678	0.09346005419
679	0.09345538953
680	0.09345315506
681	0.09345026292
682	0.09343882405
683	0.09343459185
684	0.09335037037
685	0.09323937375
686	0.09322422724
687	0.09322272492
688	0.09322017235
689	0.09320337905
690	0.09310960798
691	0.09297823112
692	0.09291741628
693	0.09285357635
694	0.0926963449
695	0.09269222645
696	0.09264218482
697	0.09263986093
698	0.09262871556
699	0.09261858504
700	0.09253518656
701	0.09241804424
702	0.09241603244
703	0.09241408718
704	0.09235131358
705	0.09233799951
706	0.09229967359
707	0.09229681134
708	0.09228756753
709	0.09227564549
710	0.0921677643
711	0.09210358341
712	0.09209292111
713	0.09200874352
714	0.09189346973
715	0.09173688632
716	0.09172850773
717	0.09169796915
718	0.09168692081
719	0.09168473816
720	0.0916834485
721	0.09164185923
722	0.09158282761
723	0.09147971159
724	0.09147859253
725	0.09135765823
726	0.09135310466
727	0.0912750425
728	0.09126172329
729	0.09116637068
730	0.09114846797
731	0.09114184906
732	0.09106809268
733	0.09098484823
734	0.09091764859
735	0.09090088208
736	0.09089428206
737	0.09080458817
738	0.09078232317
739	0.0907102289
740	0.09065305434
741	0.09064832164
742	0.09052920012
743	0.09050708749
744	0.09049364072
745	0.09048840169
746	0.09048185961
747	0.09047911354
748	0.09047617301
749	0.09047155998
750	0.09035374424
751	0.09031736567
752	0.09030837362
753	0.0901974529
754	0.09010435577
755	0.09010177822
756	0.09009199265
757	0.09007672039
758	0.08998718331
759	0.08998628952
760	0.08998220506
761	0.08998006044
762	0.08994112603
763	0.08993486595
764	0.08978718122
765	0.08973930305
766	0.08973661782
767	0.08973414051
768	0.08971750176
769	0.0896800328
770	0.08957068531
771	0.08951873675
772	0.0894217043
773	0.08937852212
774	0.08931724162
775	0.08931276797
776	0.08930844399
777	0.08928785261
778	0.08913929478
779	0.08904351564
780	0.08898216985
781	0.0889112324
782	0.0888325854
783	0.08882376158
784	0.0888017678
785	0.08880007405
786	0.08869635326
787	0.08856420382
788	0.08849135911
789	0.08848848376
790	0.08847702894
791	0.08843289062
792	0.08832969751
793	0.08828593542
794	0.08817070431
795	0.08816623706
796	0.08816503451
797	0.0881428545
798	0.08806013505
799	0.08797737102
800	0.0879561587
801	0.08784279687
802	0.08773311774
803	0.08773129977
804	0.08772867206
805	0.08770516194
806	0.08770293058
807	0.08769889159
808	0.0876028779
809	0.08759924783
810	0.0875000518
811	0.08736234302
812	0.0872798167
813	0.08726110643
814	0.08725947848
815	0.08716350574
816	0.0870631226
817	0.08693361845
818	0.08690145562
819	0.08690108114
820	0.08687588911
821	0.08682624641
822	0.08679548323
823	0.08679114361
824	0.08675777194
825	0.08675428659
826	0.086743311
827	0.08663097718
828	0.08657068281
829	0.08656426991
830	0.08655565519
831	0.08647148917
832	0.08646704035
833	0.08646167826
834	0.0864302368
835	0.08642557257
836	0.08640766298
837	0.08635806717
838	0.08635405181
839	0.08628245056
840	0.08617934079
841	0.08617422522
842	0.08616992264
843	0.08602875271
844	0.08599296339
845	0.08587133068
846	0.08586917641
847	0.08579945464
848	0.08576430771
849	0.08576260777
850	0.08576168302
851	0.08574034287
852	0.08573252643
853	0.08571029073
854	0.08569976683
855	0.08566332229
856	0.08563231991
857	0.08563163407
858	0.08562866244
859	0.08551757722
860	0.08551100795
861	0.08545075846
862	0.08536680684
863	0.08535768816
864	0.08533089842
865	0.0853268458
866	0.08525790886
867	0.08518478157
868	0.08516569177
869	0.08514951559
870	0.08513551587
871	0.08507920381
872	0.08501938046
873	0.0849986501
874	0.08491709062
875	0.08490575432
876	0.08479596463
877	0.08475433804
878	0.08474352624
879	0.08465964004
880	0.08465902449
881	0.08463800649
882	0.08463236901
883	0.08461471074
884	0.08459236822
885	0.08459039545
886	0.08447715931
887	0.08436782869
888	0.08436350547
889	0.08429812146
890	0.08428288441
891	0.08427388706
892	0.08420661273
893	0.08416824019
894	0.08412589071
895	0.08411207058
896	0.08411081111
897	0.08410919054
898	0.08404459114
899	0.08402604868
900	0.08393535161
901	0.08384297458
902	0.08379010967
903	0.08378885014
904	0.08378681887
905	0.08367135396
906	0.08366168944
907	0.08360165873
908	0.08352293309
909	0.08342679697
910	0.08342536552
911	0.08342330954
912	0.08329899402
913	0.08327471449
914	0.08327090636
915	0.08317717406
916	0.08312413903
917	0.08311923077
918	0.08311834332
919	0.0830564468
920	0.08297630345
921	0.08297573014
922	0.08296809317
923	0.08292467807
924	0.08286492633
925	0.08286346375
926	0.08286267004
927	0.08278926031
928	0.08270974318
929	0.08268188159
930	0.08263492261
931	0.08256171877
932	0.08255946878
933	0.08252939819
934	0.08252147577
935	0.08251948912
936	0.082517725
937	0.08248054232
938	0.08245565687
939	0.08236637759
940	0.08231791777
941	0.08231511374
942	0.08223831522
943	0.08223650127
944	0.08212785717
945	0.08209358786
946	0.08204454267
947	0.08202196522
948	0.08201635828
949	0.08201479991
950	0.08198827248
951	0.08198637173
952	0.08193739673
953	0.08186844064
954	0.08182952811
955	0.08182445028
956	0.08181378396
957	0.0818048951
958	0.08178916612
959	0.08171298288
960	0.08171143449
961	0.08169113002
962	0.08160687859
963	0.0815865128
964	0.08153324251
965	0.08152933774
966	0.08149077042
967	0.08146730751
968	0.08145163874
969	0.08144992611
970	0.0813863929
971	0.08135953469
972	0.08135813928
973	0.08134744196
974	0.08134366661
975	0.08127644846
976	0.08126226749
977	0.08121900037
978	0.08120237998
979	0.08118667707
980	0.08118111103
981	0.08117625017
982	0.08114030454
983	0.08113968006
984	0.08107398805
985	0.08096679596
986	0.08095803642
987	0.0809035609
988	0.08084345295
989	0.08084211899
990	0.08084015732
991	0.08083988825
992	0.08083715175
993	0.0808142081
994	0.08076739322
995	0.0807548251
996	0.08075341935
997	0.08065160607
998	0.08061202905
999	0.08061085981
